No,Course ID,Course Name,Lecturer ID,Starting Date (yyyy/mm/dd),Starting Time (hh:mm:ss),EndingTime (hh:mm:ss),Room
1,WR227,technical writing,tmtriet,2020/02/06,13:30:00,17:10:00,B.11B
2,CS251,logical structures,npson,2020/02/04,09:30:00,11:10:00,I35
3,CTH002,revolution directions of the vietnam communist party,nqdinh,2020/02/03,13:30:00,17:10:00,HTI
4,CS201,computer system programming ii,dd,2020/02/05,09:30:00,11:10:00,I52
5,CS305,social ethical and legal issues,nvvu,2020/02/05,15:30:00,17:10:00,I41
6,PLDC001,introduction to law,dctrang,2020/02/08,13:30:00,17:10:00,HTI
