No,Course ID,Course Name,Lecturer ID,Starting Date (yyyy/mm/dd),Starting Time (hh:mm:ss),EndingTime (hh:mm:ss),Room
1,CS202,programming system,dbtien,2019/10/08,07:30:00,09:10:00,I91
2,CS250,discrete structure,npson,2019/10/07,13:30:00,17:10:00,B.11A
3,SC203,scientific research methodologies,dnvu,2019/10/12,07:30:00,11:10:00,I32
4,CTH003,ho chi minh's ideology,ntphuong,2019/10/11,13:30:00,17:10:00,HTI
5,STAT451,applied statistics for engineers and scientists,ltxmai,2019/10/11,07:30:00,11:10:00,F.203
